Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
4,C,C,MySQL,MySQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Eclipse
9,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,Express,Express,Vim
13,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Firebase,Android,Android,Angular/Angular.js,Express,Vim
16,Bash/Shell/PowerShell,C#,MongoDB,Elasticsearch,Android,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio
17,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Arduino,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
19,C#,HTML/CSS,DynamoDB,DynamoDB,Android,AWS,Angular/Angular.js,Express,Vim
20,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
22,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text
23,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Couchbase,Docker,Docker,React.js,Express,Visual Studio Code
24,HTML/CSS,Go,Firebase,Elasticsearch,AWS,Android,Express,Vue.js,Visual Studio Code
25,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
26,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
29,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,PostgreSQL,Android,Docker,Express,Angular/Angular.js,Visual Studio Code
32,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,Android,Android,Express,Express,Atom
38,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Notepad++
39,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
43,C++,C#,Firebase,Firebase,Android,Android,ASP.NET,ASP.NET,Android Studio
44,Bash/Shell/PowerShell,C#,Oracle,Other(s):,Linux,Docker,Spring,Spring,IntelliJ
49,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
50,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,Firebase,Arduino,AWS,Django,Express,Notepad++
53,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
54,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,Docker,AWS,Django,Django,IntelliJ
56,Bash/Shell/PowerShell,Java,MySQL,Cassandra,Heroku,AWS,Spring,Angular/Angular.js,IntelliJ
57,JavaScript,Elixir,Firebase,DynamoDB,Linux,AWS,React.js,React.js,Notepad++
60,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,AWS,Flask,Laravel,PHPStorm
61,C++,Go,Firebase,PostgreSQL,Android,Arduino,ASP.NET,Laravel,Android Studio
62,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Android,Android,Django,ASP.NET,Atom
67,C,C#,DynamoDB,Elasticsearch,AWS,Raspberry Pi,Angular/Angular.js,React.js,IntelliJ
68,HTML/CSS,Elixir,Elasticsearch,DynamoDB,AWS,Arduino,Express,Express,Vim
70,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,ASP.NET,Angular/Angular.js,Notepad++
71,HTML/CSS,C#,MariaDB,DynamoDB,Android,Android,Laravel,Angular/Angular.js,Visual Studio Code
74,HTML/CSS,Java,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask,Atom
75,HTML/CSS,HTML/CSS,MongoDB,Elasticsearch,Heroku,AWS,Express,Express,Sublime Text
76,PHP,Python,MariaDB,Elasticsearch,AWS,Android,Other(s):,Other(s):,Notepad++
78,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Android,Android,Express,Express,Android Studio
80,Bash/Shell/PowerShell,F#,MongoDB,Couchbase,Docker,Docker,Angular/Angular.js,ASP.NET,IntelliJ
83,HTML/CSS,Elixir,DynamoDB,Cassandra,AWS,AWS,Express,Express,Sublime Text
84,C,C#,Firebase,Firebase,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
86,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,Linux,Docker,Django,Django,Coda
87,Bash/Shell/PowerShell,Go,Microsoft SQL Server,Elasticsearch,Android,AWS,Django,Django,Android Studio
90,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,Android,Android,React.js,React.js,Android Studio
92,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,Android,Android,Other(s):,Spring,IntelliJ
94,C#,Assembly,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Android,ASP.NET,ASP.NET,Notepad++
95,C#,C#,Microsoft SQL Server,Redis,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
97,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Other(s):,Linux,Linux,Flask,Flask,Atom
100,HTML/CSS,C,PostgreSQL,PostgreSQL,AWS,AWS,Express,Express,Vim
102,C#,C,Microsoft SQL Server,MongoDB,Microsoft Azure,AWS,ASP.NET,Angular/Angular.js,Notepad++
104,C#,TypeScript,Microsoft SQL Server,Couchbase,Windows,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
109,C#,C#,MongoDB,Elasticsearch,AWS,AWS,ASP.NET,ASP.NET,Notepad++
110,Python,Python,Cassandra,Cassandra,Android,Android,Angular/Angular.js,Flask,IPython / Jupyter
111,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Arduino,Android,ASP.NET,Angular/Angular.js,Visual Studio
114,Bash/Shell/PowerShell,JavaScript,MySQL,MongoDB,Docker,AWS,Laravel,Django,PHPStorm
115,Assembly,HTML/CSS,Firebase,Firebase,Android,Android,ASP.NET,Express,Android Studio
116,Scala,Scala,Elasticsearch,Elasticsearch,AWS,AWS,Other(s):,Other(s):,Emacs
117,C#,C#,Microsoft SQL Server,Elasticsearch,Slack,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
118,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,SQLite,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Eclipse
119,C,C,Firebase,Firebase,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
120,Elixir,Elixir,MongoDB,Elasticsearch,AWS,AWS,Flask,Flask,Vim
124,HTML/CSS,Java,MySQL,MySQL,AWS,AWS,Spring,Spring,Eclipse
126,C#,Rust,Microsoft SQL Server,Microsoft SQL Server,Linux,AWS,ASP.NET,Angular/Angular.js,Visual Studio
128,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
129,C++,C++,MySQL,Couchbase,Linux,AWS,Angular/Angular.js,Django,Atom
130,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,Django,Django,Emacs
135,Go,HTML/CSS,Couchbase,PostgreSQL,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
139,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,ASP.NET,Angular/Angular.js,Notepad++
140,Java,Dart,Firebase,Couchbase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
144,Java,HTML/CSS,Oracle,Oracle,Windows,Docker,Spring,Spring,NetBeans
147,HTML/CSS,Kotlin,MySQL,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
148,HTML/CSS,HTML/CSS,MySQL,Elasticsearch,Android,Android,Express,React.js,Visual Studio Code
151,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
155,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,AWS,AWS,Express,React.js,Visual Studio Code
157,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,AWS,AWS,ASP.NET,ASP.NET,Notepad++
158,Java,Java,Oracle,Cassandra,Linux,Linux,Other(s):,Drupal,Eclipse
159,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Elasticsearch,Docker,Android,Django,Django,IPython / Jupyter
163,C#,Assembly,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Visual Studio
164,C#,C#,Microsoft SQL Server,MongoDB,Raspberry Pi,Android,ASP.NET,ASP.NET,Notepad++
